Length,Shell weight,Rings
0.33,0.055,7
0.425,0.12,8
0.355,0.115,7
0.38,0.085,10
0.24,0.02,5
0.205,0.012,5
0.21,0.015,4
0.39,0.075,7
0.325,0.045,6
0.52,0.19,8
0.245,0.025,4
0.31,0.045,6
0.36,0.075,7
0.435,0.105,9
0.385,0.085,7
0.36,0.07,6
0.27,0.03,5
0.375,0.07,6
0.385,0.08,8
0.35,0.068,7
0.265,0.028,7
0.28,0.042,9
0.175,0.0125,5
0.17,0.01,4
0.235,0.015,5
0.36,0.075,7
0.315,0.035,5
0.315,0.05,8
0.225,0.015,4
0.355,0.15,8
0.4,0.12,9
0.435,0.12,8
0.37,0.08,7
0.405,0.11,7
0.425,0.1,10
0.365,0.07,7
0.275,0.035,7
0.44,0.125,12
0.295,0.04,9
0.075,0.0015,1
0.13,0.004,3
0.11,0.003,3
0.16,0.005,5
0.27,0.035,5
0.23,0.02,5
0.3,0.04,8
0.33,0.06,8
0.35,0.06,10
0.32,0.05,13
0.36,0.07,9
0.305,0.045,7
0.345,0.07,7
0.33,0.06,7
0.245,0.026,4
0.36,0.075,7
0.295,0.04,6
0.275,0.035,6
0.28,0.03,4
0.2,0.011,4
0.165,0.005,3
0.45,0.14,8
0.33,0.06,6
0.265,0.03,5
0.19,0.015,4
0.265,0.035,5
0.355,0.08,7
0.32,0.065,7
0.36,0.09,8
0.3,0.035,5
0.235,0.02,5
0.34,0.055,6
0.375,0.09,8
0.465,0.14,9
0.415,0.105,10
0.365,0.08,9
0.345,0.07,6
0.39,0.115,11
0.44,0.11,7
0.49,0.155,11
0.29,0.035,8
0.26,0.03,6
0.44,0.12,13
0.36,0.09,7
0.385,0.09,14
0.36,0.085,10
0.335,0.07,8
0.395,0.085,10
0.36,0.08,9
0.415,0.0995,10
0.24,0.025,6
0.22,0.02,5
0.255,0.025,6
0.175,0.008,5
0.43,0.1045,9
0.56,0.275,16
0.68,0.34,10
0.365,0.07,9
0.53,0.205,20
0.47,0.155,12
0.47,0.145,10
0.465,0.155,11
0.52,0.179,11
0.555,0.255,11
0.65,0.33,17
0.615,0.345,13
0.56,0.25,12
0.48,0.155,13
0.485,0.12,9
0.5,0.16,10
0.525,0.255,14
0.52,0.22,13
0.515,0.17,13
0.485,0.168,12
0.435,0.096,12
0.45,0.1275,16
0.45,0.1175,14
0.61,0.345,10
0.56,0.26,10
0.58,0.255,11
0.55,0.245,14
0.46,0.115,13
0.495,0.2,11
0.52,0.195,10
0.51,0.235,13
0.525,0.205,18
0.575,0.3,13
0.605,0.32,13
0.605,0.36,12
0.535,0.25,17
0.47,0.166,11
0.515,0.2235,12
0.425,0.154,13
0.485,0.136,10
0.495,0.169,18
0.45,0.1655,15
0.485,0.195,18
0.465,0.14,15
0.53,0.265,21
0.475,0.1335,9
0.47,0.165,9
0.44,0.16,14
0.62,0.39,13
0.445,0.105,11
0.46,0.155,11
0.335,0.06,6
0.47,0.145,11
0.58,0.41,18
0.65,0.53,18
0.535,0.295,11
0.45,0.16,19
0.37,0.07,7
0.255,0.025,5
0.165,0.005,4
0.315,0.04,7
0.155,0.005,4
0.295,0.032,7
0.325,0.063,7
0.28,0.0335,7
0.275,0.03,7
0.29,0.035,8
0.25,0.0245,6
0.18,0.0085,4
0.15,0.005,2
0.16,0.005,3
0.485,0.17,8
0.385,0.085,6
0.215,0.015,5
0.37,0.065,7
0.28,0.03,6
0.235,0.018,6
0.255,0.023,5
0.315,0.0535,7
0.325,0.049,7
0.335,0.0575,6
0.35,0.062,6
0.35,0.054,6
0.36,0.0745,7
0.365,0.0735,7
0.37,0.0615,6
0.38,0.0605,7
0.385,0.086,6
0.385,0.09,7
0.395,0.082,7
0.395,0.077,6
0.4,0.094,6
0.41,0.106,6
0.415,0.109,7
0.425,0.0945,6
0.44,0.1465,9
0.445,0.1105,7
0.445,0.089,7
0.45,0.1405,8
0.475,0.172,9
0.485,0.1525,9
0.205,0.0135,6
0.24,0.021,5
0.24,0.017,3
0.255,0.027,6
0.255,0.02,4
0.265,0.0245,6
0.28,0.0345,4
0.295,0.0385,5
0.3,0.043,4
0.3,0.037,6
0.305,0.037,5
0.315,0.0425,6
0.315,0.04,8
0.32,0.0425,5
0.325,0.05,6
0.33,0.0445,6
0.335,0.055,7
0.335,0.0445,7
0.34,0.045,5
0.34,0.055,7
0.345,0.065,7
0.37,0.067,6
0.37,0.0795,7
0.375,0.055,6
0.385,0.07,6
0.41,0.09,7
0.41,0.1,7
0.41,0.091,6
0.415,0.09,6
0.42,0.1,5
0.42,0.09,6
0.425,0.1,6
0.425,0.105,6
0.43,0.105,7
0.43,0.095,7
0.435,0.1125,8
0.435,0.1145,6
0.44,0.134,6
0.44,0.105,7
0.445,0.1195,7
0.45,0.137,7
0.45,0.1335,8
0.45,0.1135,7
0.45,0.119,7
0.455,0.1465,7
0.455,0.1295,6
0.46,0.115,7
0.46,0.1265,7
0.465,0.113,7
0.465,0.143,7
0.465,0.12,7
0.5,0.135,8
0.505,0.156,8
0.505,0.185,8
0.51,0.175,7
0.51,0.18,7
0.185,0.0095,4
0.195,0.011,3
0.195,0.0095,4
0.2,0.007,4
0.225,0.015,4
0.245,0.0215,4
0.25,0.0225,5
0.265,0.025,7
0.275,0.028,6
0.28,0.034,5
0.285,0.03,5
0.3,0.039,6
0.315,0.039,6
0.32,0.0405,6
0.34,0.055,5
0.37,0.0635,6
0.375,0.067,6
0.375,0.065,6
0.385,0.065,7
0.4,0.087,6
0.405,0.093,7
0.41,0.0875,7
0.41,0.106,6
0.42,0.1035,7
0.42,0.105,7
0.42,0.088,6
0.425,0.1045,7
0.435,0.096,6
0.435,0.106,7
0.44,0.12,7
0.445,0.117,7
0.445,0.13,7
0.445,0.109,8
0.45,0.1315,8
0.45,0.12,6
0.45,0.0975,7
0.45,0.098,6
0.45,0.102,6
0.46,0.1175,7
0.47,0.142,6
0.475,0.13,6
0.475,0.115,7
0.48,0.1665,8
0.5,0.1585,7
0.5,0.17,9
0.5,0.134,8
0.51,0.182,8
0.51,0.1525,9
0.51,0.166,8
0.515,0.15,8
0.52,0.157,8
0.52,0.167,8
0.525,0.17,8
0.525,0.1835,9
0.525,0.1405,8
0.53,0.19,8
0.535,0.169,9
0.54,0.1895,10
0.57,0.224,8
0.575,0.245,10
0.665,0.3595,9
0.185,0.15,6
0.245,0.0215,4
0.25,0.0225,5
0.25,0.025,5
0.275,0.0355,6
0.305,0.038,5
0.31,0.04,5
0.315,0.0445,5
0.315,0.0385,5
0.325,0.09,6
0.33,0.052,7
0.33,0.0435,5
0.335,0.048,7
0.34,0.055,6
0.345,0.055,6
0.345,0.05,5
0.35,0.065,6
0.35,0.0525,8
0.36,0.064,4
0.365,0.058,6
0.365,0.06,7
0.365,0.06,7
0.37,0.075,7
0.37,0.062,6
0.375,0.061,5
0.375,0.0695,7
0.375,0.0755,6
0.375,0.0775,6
0.375,0.065,8
0.375,0.07,7
0.38,0.0755,6
0.38,0.07,8
0.385,0.0745,9
0.385,0.067,8
0.385,0.0735,7
0.385,0.0655,5
0.39,0.089,7
0.395,0.0945,8
0.395,0.085,8
0.395,0.082,5
0.4,0.0765,5
0.405,0.075,6
0.41,0.17,7
0.42,0.082,6
0.425,0.1,7
0.425,0.106,7
0.425,0.08,7
0.43,0.115,8
0.43,0.1045,8
0.435,0.12,7
0.44,0.12,9
0.45,0.12,9
0.455,0.126,8
0.455,0.11,8
0.46,0.11,7
0.46,0.114,9
0.465,0.113,11
0.47,0.135,8
0.47,0.1505,8
0.47,0.115,8
0.475,0.14,8
0.475,0.1505,8
0.475,0.15,8
0.48,0.165,9
0.48,0.132,8
0.48,0.135,8
0.495,0.1495,8
0.495,0.16,7
0.5,0.1565,9
0.5,0.185,9
0.5,0.196,9
0.5,0.157,7
0.5,0.195,9
0.505,0.18,8
0.505,0.18,7
0.505,0.171,8
0.515,0.16,7
0.515,0.205,13
0.515,0.175,9
0.52,0.18,10
0.52,0.1905,9
0.525,0.164,9
0.53,0.167,9
0.53,0.192,10
0.53,0.189,9
0.53,0.21,9
0.535,0.154,9
0.535,0.225,8
0.54,0.229,9
0.545,0.227,8
0.545,0.2545,10
0.545,0.185,8
0.55,0.223,11
0.55,0.2325,10
0.55,0.215,9
0.555,0.28,10
0.555,0.23,9
0.555,0.225,9
0.56,0.236,9
0.56,0.2165,9
0.56,0.235,9
0.565,0.21,11
0.57,0.2215,10
0.57,0.245,8
0.57,0.202,10
0.585,0.285,10
0.59,0.23,9
0.6,0.27,10
0.605,0.33,11
0.605,0.26,11
0.61,0.286,9
0.63,0.315,11
0.63,0.28,10
0.14,0.004,3
0.23,0.036,4
0.365,0.0605,7
0.365,0.053,5
0.37,0.0615,6
0.375,0.067,7
0.385,0.0675,5
0.395,0.0765,5
0.4,0.0825,6
0.4,0.08,7
0.405,0.0855,8
0.405,0.0815,7
0.405,0.0805,6
0.41,0.073,5
0.425,0.088,6
0.43,0.1075,6
0.44,0.1015,5
0.44,0.1135,9
0.455,0.1065,7
0.46,0.125,8
0.47,0.116,9
0.47,0.1175,6
0.47,0.1365,6
0.475,0.1165,7
0.48,0.147,7
0.485,0.147,6
0.515,0.17,8
0.515,0.17,7
0.53,0.189,9
0.615,0.251,8
0.21,0.013,5
0.285,0.0335,5
0.295,0.0405,6
0.3,0.0415,6
0.305,0.0415,6
0.335,0.05,5
0.35,0.055,5
0.355,0.054,6
0.355,0.058,7
0.36,0.061,8
0.36,0.066,7
0.36,0.055,7
0.365,0.066,7
0.37,0.065,6
0.375,0.07,7
0.38,0.075,7
0.38,0.082,6
0.385,0.076,8
0.385,0.07,7
0.385,0.0835,8
0.39,0.08,7
0.39,0.077,7
0.39,0.073,7
0.41,0.0955,8
0.41,0.075,8
0.415,0.0965,7
0.425,0.09,8
0.425,0.095,7
0.435,0.11,7
0.435,0.105,6
0.45,0.105,8
0.45,0.1345,7
0.455,0.147,10
0.46,0.1205,7
0.46,0.13,7
0.465,0.147,9
0.465,0.12,8
0.47,0.155,8
0.475,0.19,8
0.475,0.125,8
0.48,0.175,9
0.48,0.15,8
0.485,0.16,7
0.49,0.143,8
0.49,0.169,8
0.495,0.15,8
0.495,0.19,8
0.5,0.1935,8
0.5,0.173,8
0.5,0.169,9
0.51,0.162,7
0.515,0.138,9
0.515,0.1275,10
0.515,0.17,8
0.515,0.185,8
0.52,0.165,9
0.52,0.1895,7
0.525,0.178,9
0.525,0.175,8
0.525,0.169,7
0.53,0.177,7
0.53,0.2135,10
0.53,0.195,9
0.53,0.249,11
0.535,0.175,7
0.54,0.24,9
0.54,0.25,9
0.54,0.2295,9
0.54,0.235,9
0.54,0.225,10
0.54,0.213,8
0.545,0.18,9
0.545,0.1725,8
0.545,0.22,8
0.55,0.217,9
0.55,0.23,12
0.55,0.2215,8
0.55,0.21,8
0.555,0.17,9
0.555,0.206,8
0.555,0.2765,11
0.56,0.236,10
0.56,0.2,8
0.565,0.231,9
0.57,0.25,9
0.57,0.2815,10
0.57,0.28,9
0.57,0.1825,12
0.575,0.239,10
0.575,0.235,9
0.575,0.25,9
0.575,0.254,10
0.58,0.235,9
0.59,0.265,10
0.59,0.26,11
0.595,0.235,8
0.6,0.29,8
0.605,0.22,9
0.61,0.26,9
0.62,0.315,12
0.62,0.305,11
0.62,0.295,9
0.62,0.2965,10
0.625,0.3145,12
0.625,0.278,9
0.635,0.3615,13
0.275,0.0705,5
0.375,0.1125,6
0.435,0.1645,8
0.455,0.1,6
0.455,0.211,8
0.455,0.1215,8
0.465,0.209,10
0.485,0.182,8
0.485,0.319,9
0.535,0.304,8
0.545,0.228,8
0.575,0.213,10
0.585,0.253,8
0.185,0.009,5
0.24,0.018,4
0.31,0.036,7
0.34,0.06,6
0.35,0.06,7
0.365,0.065,6
0.365,0.075,7
0.365,0.07,6
0.39,0.081,8
0.405,0.11,6
0.41,0.11,7
0.41,0.105,7
0.415,0.085,6
0.415,0.0975,6
0.415,0.115,8
0.42,0.1135,11
0.43,0.12,8
0.435,0.098,7
0.435,0.11,7
0.435,0.105,8
0.435,0.1185,7
0.445,0.1185,8
0.465,0.166,7
0.47,0.135,8
0.475,0.1465,9
0.485,0.154,7
0.485,0.147,8
0.485,0.15,9
0.495,0.165,8
0.495,0.1505,8
0.495,0.191,8
0.5,0.15,9
0.505,0.225,11
0.505,0.207,8
0.515,0.245,10
0.515,0.235,10
0.52,0.184,8
0.52,0.168,9
0.52,0.165,9
0.52,0.1425,7
0.52,0.143,10
0.525,0.1695,9
0.525,0.21,8
0.525,0.175,9
0.53,0.23,8
0.53,0.24,9
0.53,0.183,9
0.53,0.1875,9
0.535,0.244,9
0.54,0.192,9
0.54,0.19,8
0.545,0.244,10
0.545,0.25,9
0.55,0.238,10
0.55,0.23,6
0.555,0.22,9
0.56,0.279,9
0.565,0.255,9
0.565,0.25,10
0.575,0.225,10
0.575,0.239,11
0.58,0.242,10
0.605,0.352,10
0.64,0.2925,10
0.65,0.3305,10
0.135,0.008,4
0.16,0.006,4
0.21,0.015,5
0.28,0.03,6
0.28,0.03,7
0.285,0.03,6
0.29,0.03,5
0.29,0.03,6
0.29,0.03,6
0.32,0.041,6
0.325,0.04,7
0.335,0.0495,6
0.35,0.0495,7
0.35,0.046,6
0.355,0.0735,9
0.36,0.062,6
0.36,0.053,7
0.375,0.065,6
0.375,0.0605,7
0.395,0.078,7
0.405,0.0805,7
0.415,0.0925,8
0.425,0.0985,7
0.43,0.105,8
0.435,0.095,7
0.46,0.1375,7
0.47,0.145,10
0.475,0.1365,8
0.51,0.2035,9
0.255,0.025,5
0.27,0.0285,5
0.28,0.033,5
0.285,0.027,6
0.32,0.057,8
0.325,0.054,8
0.385,0.0725,8
0.395,0.082,7
0.405,0.087,8
0.415,0.0805,7
0.42,0.087,6
0.44,0.11,9
0.445,0.12,8
0.465,0.1275,9
0.48,0.158,8
0.49,0.139,8
0.55,0.209,11
0.405,0.095,7
0.37,0.085,10
0.41,0.095,9
0.325,0.045,5
0.455,0.125,9
0.385,0.08,7
0.13,0.0035,4
0.18,0.009,3
0.31,0.045,6
0.455,0.145,9
0.475,0.145,9
0.4,0.085,7
0.32,0.05,7
0.46,0.125,9
0.28,0.035,5
0.38,0.085,6
0.165,0.005,4
0.19,0.01,6
0.215,0.01,5
0.32,0.045,6
0.215,0.02,6
0.43,0.12,13
0.26,0.045,5
0.37,0.07,11
0.405,0.125,10
0.27,0.03,6
0.275,0.042,6
0.33,0.065,7
0.355,0.08,7
0.275,0.03,7
0.46,0.11,8
0.355,0.085,11
0.59,0.345,14
0.485,0.185,8
0.435,0.125,7
0.405,0.1,9
0.42,0.1,9
0.33,0.06,6
0.325,0.065,6
0.34,0.055,6
0.415,0.125,7
0.495,0.165,8
0.315,0.04,8
0.4,0.095,10
0.395,0.095,8
0.48,0.255,15
0.42,0.115,9
0.31,0.045,7
0.255,0.025,6
0.17,0.008,6
0.56,0.3,12
0.42,0.105,8
0.435,0.135,12
0.535,0.1815,12
0.415,0.106,12
0.525,0.215,11
0.47,0.1525,11
0.515,0.2215,10
0.3,0.043,7
0.625,0.38,14
0.61,0.32,14
0.625,0.35,14
0.635,0.435,17
0.5,0.19,14
0.445,0.17,13
0.44,0.14,16
0.555,0.3,15
0.655,0.315,15
0.625,0.395,12
0.62,0.33,15
0.5,0.1785,9
0.42,0.0955,9
0.52,0.26,15
0.575,0.26,13
0.565,0.285,14
0.52,0.185,11
0.635,0.49,16
0.335,0.055,9
0.275,0.03,6
0.325,0.032,8
0.275,0.027,5
0.235,0.022,6
0.25,0.0225,5
0.25,0.0225,5
0.2,0.011,4
0.355,0.065,8
0.42,0.085,8
0.285,0.033,5
0.3,0.0345,6
0.31,0.083,6
0.34,0.0525,6
0.375,0.044,7
0.415,0.114,7
0.415,0.095,6
0.415,0.093,6
0.42,0.0945,8
0.425,0.105,6
0.47,0.163,8
0.475,0.1625,10
0.505,0.172,7
0.66,0.4065,11
0.205,0.013,4
0.225,0.016,4
0.23,0.02,5
0.275,0.0255,4
0.28,0.031,5
0.28,0.03,5
0.295,0.035,6
0.31,0.0365,6
0.315,0.047,7
0.34,0.07,7
0.37,0.07,6
0.38,0.07,6
0.39,0.08,7
0.405,0.088,6
0.415,0.095,7
0.44,0.111,7
0.44,0.1305,6
0.44,0.11,6
0.44,0.125,7
0.45,0.118,6
0.45,0.1325,8
0.46,0.107,7
0.46,0.111,6
0.465,0.12,7
0.475,0.136,7
0.475,0.12,8
0.5,0.1325,7
0.505,0.185,7
0.22,0.015,4
0.275,0.0315,5
0.29,0.035,5
0.33,0.048,6
0.355,0.0715,6
0.375,0.075,6
0.415,0.095,8
0.425,0.103,6
0.425,0.094,7
0.43,0.09,7
0.44,0.103,7
0.44,0.113,7
0.46,0.125,7
0.46,0.1345,6
0.465,0.1185,7
0.475,0.123,7
0.475,0.1455,7
0.485,0.157,8
0.49,0.13,8
0.495,0.136,7
0.5,0.1605,8
0.51,0.167,8
0.51,0.1725,8
0.515,0.168,9
0.52,0.175,9
0.55,0.1755,8
0.555,0.2105,8
0.19,0.0105,3
0.21,0.0105,4
0.25,0.02,4
0.29,0.031,5
0.335,0.0575,6
0.34,0.053,6
0.345,0.06,6
0.355,0.058,7
0.36,0.06,5
0.37,0.058,7
0.375,0.0825,8
0.375,0.066,7
0.385,0.081,7
0.385,0.068,8
0.395,0.09,8
0.4,0.0865,7
0.405,0.091,7
0.405,0.0995,8
0.405,0.085,7
0.405,0.0765,6
0.41,0.1,8
0.41,0.101,8
0.415,0.105,7
0.42,0.1,8
0.42,0.1015,8
0.43,0.105,7
0.445,0.14,9
0.45,0.1185,7
0.455,0.1315,8
0.46,0.123,8
0.46,0.11,8
0.475,0.1325,7
0.485,0.16,8
0.485,0.2305,8
0.49,0.1615,10
0.505,0.21,9
0.505,0.165,9
0.51,0.1805,8
0.515,0.1615,8
0.525,0.195,8
0.525,0.2,8
0.525,0.19,9
0.55,0.225,10
0.55,0.236,10
0.55,0.205,9
0.55,0.203,10
0.55,0.2435,9
0.555,0.24,11
0.56,0.245,10
0.56,0.251,11
0.565,0.29,11
0.585,0.295,10
0.585,0.22,9
0.24,0.0155,5
0.255,0.021,4
0.275,0.026,4
0.32,0.042,7
0.325,0.043,6
0.33,0.0425,7
0.36,0.056,8
0.375,0.0585,5
0.375,0.0675,6
0.39,0.077,7
0.45,0.1095,7
0.455,0.1115,7
0.46,0.123,7
0.495,0.1405,8
0.5,0.16,8
0.52,0.1895,7
0.31,0.038,6
0.315,0.0405,4
0.32,0.0495,5
0.325,0.0455,6
0.335,0.056,7
0.37,0.058,5
0.37,0.065,7
0.375,0.072,7
0.4,0.088,8
0.41,0.09,6
0.425,0.115,8
0.435,0.115,7
0.445,0.0855,7
0.46,0.16,9
0.47,0.174,8
0.475,0.1545,8
0.495,0.161,8
0.5,0.1755,9
0.5,0.152,8
0.505,0.2,9
0.505,0.17,8
0.51,0.177,9
0.51,0.204,8
0.52,0.16,8
0.53,0.185,8
0.54,0.246,11
0.54,0.1765,10
0.545,0.2055,8
0.545,0.208,10
0.55,0.244,8
0.55,0.21,8
0.56,0.2175,8
0.56,0.222,9
0.575,0.246,9
0.585,0.26,9
0.59,0.238,9
0.59,0.259,10
0.6,0.253,9
0.605,0.3,10
0.61,0.274,11
0.61,0.2915,11
0.67,0.386,9
0.32,0.0885,6
0.43,0.109,8
0.43,0.097,6
0.5,0.141,7
0.535,0.2055,8
0.595,0.2725,8
0.255,0.02,4
0.375,0.07,6
0.375,0.08,8
0.39,0.084,7
0.39,0.079,8
0.395,0.075,6
0.42,0.0945,6
0.435,0.1135,7
0.435,0.115,8
0.44,0.12,9
0.45,0.1245,8
0.45,0.1345,8
0.455,0.135,9
0.46,0.1455,8
0.47,0.162,8
0.475,0.16,9
0.495,0.15,7
0.495,0.15,8
0.5,0.209,8
0.515,0.165,7
0.52,0.196,11
0.52,0.186,11
0.525,0.18,8
0.535,0.237,9
0.55,0.21,10
0.55,0.265,11
0.565,0.2475,9
0.575,0.22,8
0.575,0.24,9
0.59,0.289,8
0.62,0.3075,11
0.225,0.017,4
0.23,0.016,5
0.255,0.025,6
0.355,0.0595,7
0.425,0.093,7
0.425,0.0725,8
0.29,0.032,5
0.3,0.0315,5
0.37,0.068,5
0.375,0.0725,7
0.38,0.075,7
0.395,0.0895,8
0.41,0.103,8
0.415,0.094,7
0.425,0.1175,7
0.44,0.101,7
0.44,0.1185,6
0.335,0.065,11
0.18,0.01,5
0.215,0.0185,5
0.2,0.0065,4
0.275,0.035,7
0.51,0.235,11
0.27,0.034,8
0.2,0.01,5
0.325,0.045,5
0.31,0.05,7
0.295,0.04,8
0.48,0.175,15
0.32,0.06,9
0.43,0.146,14
0.44,0.115,9
0.42,0.115,9
0.345,0.075,8
0.455,0.185,8
0.43,0.11,6
0.3,0.045,5
0.6,0.355,16
0.41,0.08,10
0.485,0.135,9
0.45,0.1125,11
0.49,0.175,11
0.375,0.0725,12
0.55,0.28,12
0.635,0.425,16
0.575,0.275,13
0.44,0.2,13
0.45,0.145,12
0.39,0.085,8
0.66,0.42,15
0.54,0.264,17
0.495,0.212,13
0.47,0.198,14
0.49,0.165,13
0.47,0.17,10
0.445,0.18,11
0.475,0.158,8
0.435,0.13,10
0.39,0.085,6
0.375,0.07,8
0.58,0.315,20
0.54,0.19,10
0.44,0.12,11
0.59,0.375,17
0.61,0.335,13
0.61,0.37,17
0.44,0.195,16
0.31,0.04,6
0.255,0.031,5
0.295,0.031,8
0.19,0.009,5
0.35,0.075,9
0.34,0.05,7
0.35,0.064,8
0.35,0.053,6
0.39,0.09,7
0.395,0.093,7
0.415,0.0915,6
0.43,0.1,7
0.48,0.184,8
0.25,0.0215,4
0.28,0.03,6
0.325,0.045,6
0.35,0.06,5
0.36,0.065,6
0.365,0.063,6
0.37,0.0645,6
0.375,0.075,7
0.38,0.075,6
0.395,0.075,8
0.43,0.09,6
0.44,0.131,8
0.465,0.14,7
0.485,0.13,7
0.495,0.1645,8
0.5,0.151,8
0.165,0.014,3
0.21,0.013,4
0.355,0.06,6
0.4,0.0765,6
0.4,0.0815,7
0.4,0.075,6
0.435,0.1,7
0.44,0.09,7
0.45,0.12,8
0.465,0.109,6
0.47,0.123,7
0.47,0.139,7
0.475,0.1845,8
0.485,0.128,7
0.51,0.1485,8
0.52,0.1535,8
0.215,0.0125,3
0.24,0.02,4
0.26,0.0305,4
0.32,0.038,6
0.33,0.0505,6
0.335,0.054,6
0.35,0.0575,7
0.35,0.056,6
0.36,0.054,6
0.36,0.0585,7
0.365,0.0625,7
0.38,0.0775,7
0.4,0.087,6
0.4,0.08,6
0.4,0.08,9
0.425,0.1065,8
0.43,0.098,6
0.435,0.125,8
0.445,0.12,8
0.45,0.14,8
0.455,0.1205,8
0.46,0.11,8
0.475,0.142,9
0.475,0.125,8
0.475,0.14,7
0.48,0.15,9
0.5,0.1645,9
0.515,0.1855,9
0.525,0.16,8
0.53,0.19,9
0.53,0.198,8
0.535,0.1975,9
0.54,0.2,8
0.55,0.2425,10
0.57,0.2365,9
0.575,0.285,8
0.575,0.1965,9
0.58,0.27,10
0.58,0.238,10
0.58,0.2445,11
0.63,0.325,11
0.175,0.009,4
0.37,0.0675,8
0.395,0.077,5
0.42,0.1025,7
0.455,0.126,8
0.495,0.1395,8
0.27,0.029,6
0.285,0.035,7
0.295,0.0365,5
0.3,0.044,5
0.3,0.035,5
0.36,0.055,6
0.37,0.0825,6
0.39,0.078,8
0.435,0.105,6
0.44,0.125,8
0.44,0.1,8
0.445,0.13,7
0.465,0.1455,9
0.465,0.14,8
0.47,0.125,8
0.475,0.127,7
0.475,0.135,9
0.475,0.1355,9
0.485,0.151,8
0.49,0.1745,9
0.515,0.195,9
0.52,0.171,8
0.525,0.168,10
0.53,0.215,9
0.53,0.208,9
0.53,0.195,11
0.535,0.2595,10
0.55,0.236,10
0.55,0.24,8
0.55,0.221,9
0.555,0.247,9
0.575,0.217,9
0.575,0.239,8
0.585,0.265,9
0.595,0.287,10
0.62,0.284,11
0.625,0.3315,11
0.63,0.31,11
0.235,0.0465,5
0.35,0.1255,7
0.36,0.128,7
0.38,0.067,7
0.465,0.1035,9
0.47,0.1325,9
0.5,0.2455,8
0.51,0.255,10
0.275,0.034,5
0.285,0.034,5
0.36,0.0615,7
0.385,0.086,6
0.4,0.091,6
0.43,0.123,7
0.435,0.145,8
0.45,0.11,7
0.475,0.1435,8
0.475,0.13,8
0.485,0.1465,8
0.51,0.165,8
0.515,0.179,9
0.52,0.1945,10
0.525,0.21,9
0.53,0.148,8
0.53,0.1895,11
0.535,0.22,10
0.535,0.265,9
0.565,0.21,9
0.575,0.26,10
0.58,0.2255,9
0.59,0.245,9
0.62,0.306,12
0.205,0.014,3
0.305,0.05,6
0.32,0.0355,7
0.355,0.064,7
0.425,0.1,8
0.525,0.175,8
0.35,0.07,8
0.38,0.21,6
0.46,0.0965,8
0.17,0.005,4
0.335,0.055,8
0.37,0.08,6
0.335,0.055,9
0.32,0.05,5
0.33,0.05,5
0.38,0.09,7
0.29,0.045,9
0.41,0.11,7
0.435,0.165,9
0.14,0.005,4
0.16,0.005,4
0.48,0.185,13
0.455,0.145,9
0.355,0.075,10
0.52,0.205,15
0.54,0.215,11
0.52,0.26,19
0.56,0.275,11
0.615,0.33,13
0.565,0.275,11
0.525,0.253,10
0.58,0.19,14
0.5,0.18,12
0.725,0.255,10
0.55,0.3,17
0.235,0.018,6
0.235,0.0215,5
0.235,0.019,6
0.315,0.047,5
0.465,0.184,8
0.49,0.1775,9
0.27,0.0305,4
0.27,0.03,5
0.295,0.035,6
0.295,0.035,6
0.315,0.045,6
0.375,0.08,6
0.38,0.082,6
0.385,0.07,6
0.4,0.066,6
0.415,0.1025,7
0.42,0.105,8
0.44,0.119,6
0.45,0.1405,7
0.475,0.135,7
0.58,0.2515,6
0.185,0.01,4
0.245,0.02,5
0.315,0.2505,6
0.36,0.062,6
0.375,0.055,6
0.415,0.083,6
0.455,0.1325,7
0.48,0.135,6
0.485,0.1525,8
0.51,0.1555,8
0.275,0.03,6
0.33,0.0505,6
0.33,0.055,7
0.365,0.0605,7
0.365,0.0655,6
0.42,0.0925,8
0.435,0.0965,7
0.435,0.109,7
0.44,0.1075,8
0.485,0.18,8
0.495,0.172,10
0.52,0.182,11
0.54,0.1985,8
0.54,0.19,10
0.55,0.21,11
0.56,0.235,11
0.575,0.215,10
0.545,0.174,8
0.37,0.072,6
0.395,0.0935,7
0.4,0.0935,6
0.41,0.085,7
0.455,0.1185,8
0.48,0.145,7
0.485,0.149,8
0.5,0.1305,8
0.515,0.19,9
0.52,0.169,8
0.545,0.2615,8
0.55,0.206,9
0.555,0.2095,8
0.565,0.3095,9
0.595,0.2755,10
0.42,0.086,7
0.48,0.126,7
0.515,0.1785,8
0.56,0.2,8
0.3,0.042,4
0.455,0.15,9
0.46,0.15,8
0.49,0.1765,8
0.5,0.165,8
0.54,0.185,9
0.55,0.26,10
0.57,0.24,10
0.58,0.2575,11
0.585,0.315,10
0.28,0.03,6
0.33,0.046,7
0.35,0.041,6
0.37,0.0615,7
0.43,0.11,8
0.435,0.0885,6
0.44,0.115,6
0.48,0.14,8
0.39,0.079,7
0.39,0.081,7
0.405,0.088,7
0.475,0.156,10